image,text,pattern_type,state,city,district_number,series,registration_number,layout,font,augmentation_level,render_sha256
images/plate_000001.png,टीएस ०४-एचएच १०४,short_state,तेलंगाना,,०४,एचएच,१०४,two_line,Arial Unicode.ttf,mild,22008f3a5e48da62df3ebe6e30a266b4b49ddd5efde8893897d5357f40352e22
images/plate_000002.png,पीवाई-४९-जे-५९२५,short_state,पुदुचेरी,,४९,जे,५९२५,one_line,Devanagari Sangam MN.ttc#0,mild,3ff54c6990b776d8f11cd8df825c5ecb746df0624d59652d264a391dffc89d1b
images/plate_000003.png,मणिपुर-०९ एस-५१५५,full_state,मणिपुर,,०९,एस,५१५५,two_line,DevanagariMT.ttc#1,mild,e079163666c8ddf55002d0fe665555c3eed64af9da14505cf374d96d8a9cfde3
images/plate_000004.png,कारगिल ५५७३,city,लद्दाख,कारगिल,८८,वीआर,५५७३,one_line,ITFDevanagari.ttc#3,mild,1fe297f1b39d449c9a210a6e190e648346f45a166b580385a263d0c33f0c2e71
images/plate_000005.png,पंजाब १७ पी २७०५,full_state,पंजाब,,१७,पी,२७०५,one_line,ITFDevanagari.ttc#1,clean,17e8caced96b91ce3d4b60854a4c96017e246b92dca6be88d1c1ded696820ee3
images/plate_000006.png,विशाखापत्तनम-७१-एचए-६४६,city,आंध्र प्रदेश,विशाखापत्तनम,७१,एचए,६४६,one_line,Devanagari Sangam MN.ttc#1,mild,9b5025dbf2d754c186a9a7b1333dbba7e68e5cc88e48b0edc610a5b2429aea1d
images/plate_000007.png,जीजे ५८ एफ ४०९२,short_state,गुजरात,,५८,एफ,४०९२,two_line,Shree714.ttc#2,difficult,42cd9e5c822d40e385f5fdc33b3a4879b1c7a5184210d7e12a9fdfb4c6b9844a
images/plate_000008.png,कोच्चि ८३२०,city,केरल,कोच्चि,०७,क्यूक्यू,८३२०,one_line,ITFDevanagari.ttc#2,clean,caeeaf3fa14517dccb34021e9b144c9d85ffdb5f3be82c6d5962ecbcb5dcb1e2
images/plate_000009.png,हरियाणा-९२-आईएम-६६०,full_state,हरियाणा,,९२,आईएम,६६०,two_line,Devanagari Sangam MN.ttc#1,mild,9b17f1dc1f3faebacd90e297f69edefc765c3f4744c45e8954787d477b131300
images/plate_000010.png,तेलंगाना १८ डीएक्स ४४६२,full_state,तेलंगाना,,१८,डीएक्स,४४६२,one_line,ITFDevanagari.ttc#3,clean,06b00637f759be581eec8b14213e97a3f59d03059e9b85165ba040158377d1d0
images/plate_000011.png,जीए-५७-एनआर-२,short_state,गोवा,,५७,एनआर,२,one_line,DevanagariMT.ttc#1,medium,34521347188ff89f1ae18e97706c79d1efb668d949895561677762320db208c1
images/plate_000012.png,टीएन २० एचएफ २९००,short_state,तमिलनाडु,,२०,एचएफ,२९००,one_line,ITFDevanagari.ttc#5,clean,3c7cc18ffbd2cabf71b80b0dab3f9a6cb6bb9d321224d361b0d7d561081a6661
images/plate_000013.png,हिमाचल प्रदेश ५९ ज़ेडएच ३१६४,full_state,हिमाचल प्रदेश,,५९,ज़ेडएच,३१६४,one_line,ITFDevanagari.ttc#3,medium,d1c8538554e7c08faddf3a1272369ad3888709e07effb5043f64ee4a9a5df5e3
images/plate_000014.png,टीआर९५जीएल५४०९,short_state,त्रिपुरा,,९५,जीएल,५४०९,one_line,DevanagariMT.ttc#0,mild,795e906349434b7ad927542a102e0d86c9945b0dec02eb76adea581dfc1a8cf3
images/plate_000015.png,एसके ४२ ओवी-७७५२,short_state,सिक्किम,,४२,ओवी,७७५२,one_line,Shree714.ttc#1,mild,bf7a32a4faa3bab85f2841e05f8a8d8ba6d1e957ca757441376d0be5e38b7c12
images/plate_000016.png,एलडी-६७-आरएच-१९८८,short_state,लक्षद्वीप,,६७,आरएच,१९८८,one_line,Shree714.ttc#1,medium,52ae4b6b9a1858be113d3554c5bc15faa009a41c4b8baf01961833c6a45797d7
images/plate_000017.png,पश्चिम बंगाल ६३ आईओ २९२,full_state,पश्चिम बंगाल,,६३,आईओ,२९२,one_line,ITFDevanagari.ttc#2,clean,eebe11eb7a3ff0b3d9874813730004494141717af1d2aaccef694b63e7f11b62
images/plate_000018.png,पोलीस ७८१४,government,जम्मू और कश्मीर,,७५,एवाय,७८१४,one_line,ITFDevanagari.ttc#8,mild,45215f57912e6e6d846b6f3e40e4339149a8470bc485e5855efbc54904fd1a02
images/plate_000019.png,जेके ७६ एसी २२२३,short_state,जम्मू और कश्मीर,,७६,एसी,२२२३,one_line,ITFDevanagari.ttc#3,clean,07c8005b402e63817034f825fa5712786a400f03c7be85d5e295d0c99942c6b5
images/plate_000020.png,पीवाई ४५ सीवाय ०६५९,short_state,पुदुचेरी,,४५,सीवाय,०६५९,two_line,ITFDevanagari.ttc#2,clean,d8349fbfcdbc03343d0e6c5e85f867329d55f5678da49481fc0b3dcc6f4416fa
images/plate_000021.png,लक्षद्वीप १४ जेएस ६१४९,full_state,लक्षद्वीप,,१४,जेएस,६१४९,two_line,ITFDevanagari.ttc#2,mild,5a2718a9b5cb00909413edd316e9535597562905ad1f9a2927991aca6284fea8
images/plate_000022.png,एलए ६२ एक्सएस ४०२२,short_state,लद्दाख,,६२,एक्सएस,४०२२,two_line,ITFDevanagari.ttc#9,medium,a3b999376cb8325876e2c52e6c83f7072c1e971b10dc1f2dd94254b977b53f37
images/plate_000023.png,हावड़ा ८९ डब्ल्यूपी ०२८२,city,पश्चिम बंगाल,हावड़ा,८९,डब्ल्यूपी,०२८२,one_line,Shree714.ttc#3,mild,87ee11fd8792d0e37ae23427926c8a1923202340bc569fa6b9c7aec7f21011c0
