image,text,category,layout,difficulty,split,group_id,state,district,series,registration,separator,font,background,header_text,render_sha256
images/plate_000001.jpg,MH12AB1234,latin_only,one_line,medium,train,fixed-MH-12-AB-1234,MH,12,AB,1234,,Arial Unicode,yellow,,8bcf0d20934ebab560b6601383d4b3e89bba4d2da0e1211174255495e70a5b3d
images/plate_000002.jpg,एमएच१२एबी१२३४,devanagari_only,two_line,difficult,train,fixed-MH-12-AB-1234,MH,12,AB,1234,,Devanagari Sangam MN 0,white,,3d3ee9d6806a4e9c39312ad25bbe7f95ab85f8c25e84f3b78f22c2b8be1e1a8f
images/plate_000003.jpg,MH १२ AB १२३४,latin_letters_devanagari_digits,one_line,clean,train,fixed-MH-12-AB-1234,MH,12,AB,1234, ,Devanagari Sangam MN 1,yellow,,35cafe4bebfa507f56ab4145e2c03ab06a98244e8abd74bd931cc6d1e62f9348
images/plate_000004.jpg,एमएच 12 एबी 1234,devanagari_letters_ascii_digits,one_line,medium,train,fixed-MH-12-AB-1234,MH,12,AB,1234, ,Devanagari MT 0,white,,6857d5e7aa1728c69258fcf325f01e883cf6b38c272119fe584dcc3ea1741ff1
images/plate_000005.jpg,MH 12 एबी १२३४,mixed_script,two_line,difficult,train,fixed-MH-12-AB-1234,MH,12,AB,1234, ,Devanagari MT 1,white,,24555f0ad1e2acf90332c80a502027d779582a3c55c78c49b34d75c868d29766
images/plate_000006.jpg,एमएच १२ AB 1234,mixed_script,one_line,clean,train,fixed-MH-12-AB-1234,MH,12,AB,1234, ,ITF Devanagari 0,white,,0ddf1f5f41c4738861c4d150dbd2b500e10a1e15e103af6f4c3a99c1bf9c6d93
images/plate_000007.jpg,MH-१२-AB-१२३४,latin_letters_devanagari_digits,one_line,medium,train,fixed-MH-12-AB-1234,MH,12,AB,1234,-,ITF Devanagari 2,white,,a3b5833f51c01d8d15eafaa728a29639aea119a3a93888063a3985a123093063
images/plate_000008.jpg,DL०१CA१२३४,latin_letters_devanagari_digits,one_line,difficult,train,fixed-DL-01-CA-1234,DL,01,CA,1234,,ITF Devanagari 5,white,,3f0feb1dfbe69e6676eb500bca93620ba40e1c179a216ec51948383f05f6daf5
images/plate_000009.jpg,केए05MN६७८९,mixed_script,one_line,clean,train,fixed-KA-05-MN-6789,KA,05,MN,6789,,Arial Unicode,white,,7af5330281bad2077d1296d23714328e311c5b8ae58b197a2531c5cb959e7fe2
images/plate_000010.jpg,२३५६,devanagari_only,header_registration,medium,train,fixed-header-2356,MH,,,2356,,Devanagari Sangam MN 0,white,महाराष्ट्राची शान,58ef87bda12f17cb232a2f6a55c8a6b9d1b8a11b3aa11bf27099f30ff4724ae6
images/plate_000011.jpg,HP-19-TW-7577,latin_only,one_line,medium,train,HP-19-TW-7577,HP,19,TW,7577,-,Devanagari Sangam MN 1,white,,855fb988b3db881cf23e82d6c235034610f4f2a963dfb198992f7f717e67b6ec
images/plate_000012.jpg,एचआर५३एक्सजे५५३६,devanagari_only,one_line,medium,train,HR-53-XJ-5536,HR,53,XJ,5536,,Devanagari MT 0,white,,f7c81114728f17e879b9be4d091714f1af15022402fe5c7ce83126a5b71003bc
images/plate_000013.jpg,JH-०९-YW-४४०३,latin_letters_devanagari_digits,one_line,medium,train,JH-09-YW-4403,JH,09,YW,4403,-,Devanagari MT 1,white,,a33bed338c476af2459b01be28cdf04e8bf6c852b4925d5fcf61ac228e89cb3b
images/plate_000014.jpg,जेके 08 ए 8525,devanagari_letters_ascii_digits,two_line,medium,train,JK-08-A-8525,JK,08,A,8525, ,ITF Devanagari 0,yellow,,4c959b38d9f0b6df286bb5c9e7efb9870199c87953311a8584488bd0208c3d62
images/plate_000015.jpg,KA-१२-एक्सवाई-६३०६,mixed_script,header_registration,difficult,train,KA-12-XY-6306,KA,12,XY,6306,-,ITF Devanagari 2,yellow,INDIA,a90a11805cb45739bbe28c498c83cb4c320a17cf12d68cc857d8c40ffa1920e6
images/plate_000016.jpg,KL 22 FB 6042,latin_only,one_line,medium,train,KL-22-FB-6042,KL,22,FB,6042, ,ITF Devanagari 5,white,,e5cbb674c2fbec050c63e5c34bafd3791c42d024773a437f84d72140333b23c0
images/plate_000017.jpg,एलए४८एचए९४८२,devanagari_only,one_line,clean,train,LA-48-HA-9482,LA,48,HA,9482,,Arial Unicode,white,,712d4f605856f760261ef423843190533925a8254b5cba7eb9f93256477cee88
images/plate_000018.jpg,LD८२OO२७३८,latin_letters_devanagari_digits,one_line,medium,train,LD-82-OO-2738,LD,82,OO,2738,,Devanagari Sangam MN 0,white,,a7adebe90769ec169962033dabe59563486c84fe5086ea2243ca15ffa6efcfc0
images/plate_000019.jpg,एमएच-88-केएक्स-9749,devanagari_letters_ascii_digits,one_line,clean,train,MH-88-KX-9749,MH,88,KX,9749,-,Devanagari Sangam MN 1,white,,23fc45da6027e69562db64fdf7dee6bc8054d37f5873adb7de452062ca931844
images/plate_000020.jpg,ML-०८-पीआई-5926,mixed_script,one_line,difficult,train,ML-08-PI-5926,ML,08,PI,5926,-,Devanagari MT 0,white,,6adc723c3a7d7fbb3e60975532d9d5291a9903ff52994ce6d0ca79768e2efb7a
images/plate_000021.jpg,MN 43 WE 7960,latin_only,two_line,medium,train,MN-43-WE-7960,MN,43,WE,7960, ,Devanagari MT 1,white,,b8b0356e9f4337473c69417873185cadb5fed6175b7c288da4a2534ecd1c8ec9
images/plate_000022.jpg,एमपी३७ओ९२०२,devanagari_only,one_line,difficult,train,MP-37-O-9202,MP,37,O,9202,,ITF Devanagari 0,white,,1ae3035a8c80bc9ec73ee2013ed3ca79dd5d4fb0a1820c7253a51ee451b08842
images/plate_000023.jpg,MZ१२R८२५८,latin_letters_devanagari_digits,one_line,clean,train,MZ-12-R-8258,MZ,12,R,8258,,ITF Devanagari 2,white,,bcf6f503d5fc48cc7e5898a9a790e3e6a50d7b2a3e5a3aa61dca93df5b73f05e
