image,text,category,layout,difficulty,split,group_id,state,district,series,registration,separator,font,background,header_text,render_sha256
images/plate_000001.jpg,MH12AB1234,latin_only,one_line,medium,train,fixed-MH-12-AB-1234,MH,12,AB,1234,,Arial Unicode,yellow,,8bcf0d20934ebab560b6601383d4b3e89bba4d2da0e1211174255495e70a5b3d
images/plate_000002.jpg,एमएच१२एबी१२३४,devanagari_only,two_line,difficult,train,fixed-MH-12-AB-1234,MH,12,AB,1234,,Devanagari Sangam MN 0,white,,3d3ee9d6806a4e9c39312ad25bbe7f95ab85f8c25e84f3b78f22c2b8be1e1a8f
images/plate_000003.jpg,MH १२ AB १२३४,latin_letters_devanagari_digits,one_line,clean,train,fixed-MH-12-AB-1234,MH,12,AB,1234, ,Devanagari Sangam MN 1,yellow,,35cafe4bebfa507f56ab4145e2c03ab06a98244e8abd74bd931cc6d1e62f9348
images/plate_000004.jpg,एमएच 12 एबी 1234,devanagari_letters_ascii_digits,one_line,medium,train,fixed-MH-12-AB-1234,MH,12,AB,1234, ,Arial Unicode,white,,e69677aa9bee5cc8a89b9f79903ffafb26618748c067801d363d787e1d6f52fb
images/plate_000005.jpg,MH 12 एबी १२३४,mixed_script,two_line,difficult,train,fixed-MH-12-AB-1234,MH,12,AB,1234, ,Devanagari Sangam MN 0,white,,d05bb4d1c0c31b7599ea776995c4a2939864ec35e3cd4499db534baec026ba10
images/plate_000006.jpg,एमएच १२ AB 1234,mixed_script,one_line,clean,train,fixed-MH-12-AB-1234,MH,12,AB,1234, ,Devanagari Sangam MN 1,white,,0d2bd9b8645297fc76da4e8c71bf2c6cd204322683de9d58f048b8c5d26d3fd9
images/plate_000007.jpg,MH-१२-AB-१२३४,latin_letters_devanagari_digits,one_line,medium,train,fixed-MH-12-AB-1234,MH,12,AB,1234,-,Arial Unicode,white,,ee66565fa2555fa9b7658fc0cde38e70e40d7d3666991fe1b1a255bcf480c641
images/plate_000008.jpg,DL०१CA१२३४,latin_letters_devanagari_digits,one_line,difficult,train,fixed-DL-01-CA-1234,DL,01,CA,1234,,Devanagari Sangam MN 0,white,,fc5e3d2313f7c3924ef1392ceda7a3fd966093980a7907f94cca2356a4c4234f
images/plate_000009.jpg,केए05MN६७८९,mixed_script,one_line,clean,train,fixed-KA-05-MN-6789,KA,05,MN,6789,,Devanagari Sangam MN 1,white,,5adb4a5734b3eaee140430352fa97bfdea9bc0e4062d9603ed0055df46493354
images/plate_000010.jpg,२३५६,devanagari_only,header_registration,medium,train,fixed-header-2356,MH,,,2356,,Arial Unicode,white,महाराष्ट्राची शान,76429a9d37764cc36e2a13879b9b43722ce4819726e42063aad58c60ab608807
images/plate_000011.jpg,HP-19-TW-7577,latin_only,one_line,medium,train,HP-19-TW-7577,HP,19,TW,7577,-,Devanagari Sangam MN 0,white,,4d1eb22591546a0d311cdd89760cb823ea71ddaf9d3675b3f1831a2cd3f93423
images/plate_000012.jpg,एचआर५३एक्सजे५५३६,devanagari_only,one_line,medium,train,HR-53-XJ-5536,HR,53,XJ,5536,,Devanagari Sangam MN 1,white,,3b15287ecf72f1a09c93bc55ae50ed4ac3e821c249363dcd0e1fb104817c827b
images/plate_000013.jpg,JH-०९-YW-४४०३,latin_letters_devanagari_digits,one_line,medium,train,JH-09-YW-4403,JH,09,YW,4403,-,Arial Unicode,white,,9daded853771d88b2fdc780f44aea99b687e360da506e160ca01b9d0eec1ccfc
images/plate_000014.jpg,जेके 08 ए 8525,devanagari_letters_ascii_digits,two_line,medium,train,JK-08-A-8525,JK,08,A,8525, ,Devanagari Sangam MN 0,yellow,,eff2e4362b41400d50ed33527cdcbfac2ccb833156c3c3a78c0cf569a4b61b9e
images/plate_000015.jpg,KA-१२-एक्सवाई-६३०६,mixed_script,header_registration,difficult,train,KA-12-XY-6306,KA,12,XY,6306,-,Devanagari Sangam MN 1,yellow,INDIA,8a7b2dc7f737f8851e5dde40c386e42be4a8e53cf452890bdc59b1a52f9d4c68
images/plate_000016.jpg,KL 22 FB 6042,latin_only,one_line,medium,train,KL-22-FB-6042,KL,22,FB,6042, ,Arial Unicode,white,,ea3a878f5dc67b046b0e74445ed94cca0f3275aca7c909f287cea2e754352f52
images/plate_000017.jpg,एलए४८एचए९४८२,devanagari_only,one_line,clean,train,LA-48-HA-9482,LA,48,HA,9482,,Devanagari Sangam MN 0,white,,3f6e958cb2350975b046f961bb51e4b56e33ec0d1edb947d3e8f9ecfe55a4a25
images/plate_000018.jpg,LD८२OO२७३८,latin_letters_devanagari_digits,one_line,medium,train,LD-82-OO-2738,LD,82,OO,2738,,Devanagari Sangam MN 1,white,,28992c143631d9f18dbd91e6901f2a2349795b83b03152164f34f91271741977
images/plate_000019.jpg,एमएच-88-केएक्स-9749,devanagari_letters_ascii_digits,one_line,clean,train,MH-88-KX-9749,MH,88,KX,9749,-,Arial Unicode,white,,27158025c9330a74dde48b7bb21e6e6cd34886c2a1d029990e92324cf5f87206
images/plate_000020.jpg,ML-०८-पीआई-5926,mixed_script,one_line,difficult,train,ML-08-PI-5926,ML,08,PI,5926,-,Devanagari Sangam MN 0,white,,8c55fee29256841cb900e09993fc4bb15e0cd3d178672a3c4ecc705e94cb86f9
images/plate_000021.jpg,MN 43 WE 7960,latin_only,two_line,medium,train,MN-43-WE-7960,MN,43,WE,7960, ,Devanagari Sangam MN 1,white,,e281901446bd48984c971ff7db655c1bdce0b4e8fbf9900d29ec435c9b7c32d8
images/plate_000022.jpg,एमपी३७ओ९२०२,devanagari_only,one_line,difficult,train,MP-37-O-9202,MP,37,O,9202,,Arial Unicode,white,,233578f264397e51cac925a775a00185fa84b4f3097029fc079325a82763f917
images/plate_000023.jpg,MZ१२R८२५८,latin_letters_devanagari_digits,one_line,clean,train,MZ-12-R-8258,MZ,12,R,8258,,Devanagari Sangam MN 0,white,,00fde313f1b62b543cb888cb57b3282df69be5f78042e0060645195585c338bc
