split,n_lines,label,read,edit,agree,conf,path
val,1,PB03AGT8979,TARAAUTOM0BILESBTI0164221432223PB03AGT18979,32,False,0.864,/home/calua/number_plate/data/ocr/val/real_530523375e50.jpg
train,1,TN02TC0143,TN02TC0143VALIDUPTO29112013TO2812014,26,False,0.787,/home/calua/number_plate/data/ocr/train/real_128179cad1fa.jpg
train,2,MH04HP6100,MH04HP6100NAVNITMOTORS66777777,20,False,0.86,/home/calua/number_plate/data/ocr/train/real_9a04d98bcaef.jpg
val,2,TN21AT0480,TN21AT0480KAENNISSANTOLTOSEOSE,20,False,0.511,/home/calua/number_plate/data/ocr/val/real_e0a401b374c4.jpg
val,2,TN21AT0480,TN211AT0480LKZENNISSANTUOSI4S,19,False,0.502,/home/calua/number_plate/data/ocr/val/real_d38eea63a3cd.jpg
train,1,MH02BM5048,LTOVISAOWLOCAROOSEMH02BM5048,18,False,0.525,/home/calua/number_plate/data/ocr/train/real_ea36f6cf293a.jpg
test,1,DEVANAGRI,MILLENNIUMOTOYOTA,16,False,0.8,/home/calua/number_plate/data/ocr/test/real_a7850eb4729d.jpg
train,2,MH02BM5048,MH02BM5048MTOETONNCDCAR,13,False,0.525,/home/calua/number_plate/data/ocr/train/real_27b5d954f10e.jpg
val,2,MH20BQ20,MH2020HSONMENOMNM,13,False,0.502,/home/calua/number_plate/data/ocr/val/real_9c157ec2c35e.jpg
train,3,KL38F5008,NUMERIXEUROKL38F5008,11,False,0.52,/home/calua/number_plate/data/ocr/train/real_a43d55c90e6f.jpg
test,3,HP896786,89READYHP86108,11,False,0.564,/home/calua/number_plate/data/ocr/test/real_e1fd2a42f71a.jpg
train,0,MH02DQ0196,,10,False,0.0,/home/calua/number_plate/data/ocr/train/real_59d79a6e5f32.jpg
train,0,TN38BY4191,,10,False,0.0,/home/calua/number_plate/data/ocr/train/real_c4bff175264a.jpg
train,0,MH02CL4017,,10,False,0.0,/home/calua/number_plate/data/ocr/train/real_8416667a6d3f.jpg
train,0,MH01AV8814,,10,False,0.0,/home/calua/number_plate/data/ocr/train/real_dd6dc3bffd26.jpg
train,0,RJ27TC0530,,10,False,0.0,/home/calua/number_plate/data/ocr/train/real_1c25c5ab76b7.jpg
train,0,MH01AX3070,,10,False,0.0,/home/calua/number_plate/data/ocr/train/real_583b720bd96b.jpg
train,0,MH03DU5196,,10,False,0.0,/home/calua/number_plate/data/ocr/train/real_4996d68ae4a3.jpg
train,0,MH01AX3070,,10,False,0.0,/home/calua/number_plate/data/ocr/train/real_766ab880bbda.jpg
train,0,MH01CV6333,,10,False,0.0,/home/calua/number_plate/data/ocr/train/real_4814f683ec87.jpg
train,0,MH03DV2010,,10,False,0.0,/home/calua/number_plate/data/ocr/train/real_84eb5e708c5a.jpg
train,0,MH03CP1328,,10,False,0.0,/home/calua/number_plate/data/ocr/train/real_27eada861fde.jpg
